"Name","ID","Runtime","Sweep","dy_config.base_model.checkpoint_dir","dy_config.base_model.config_dir","dy_config.data.in_distribution.dataloader_args.dataset","dy_config.data.in_distribution.dataloader_args.dgm_args.length","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.seed","dy_config.data.in_distribution.dataloader_args.make_valid_loader","dy_config.data.in_distribution.dataloader_args.test_batch_size","dy_config.data.in_distribution.dataloader_args.train_batch_size","dy_config.data.in_distribution.dataloader_args.valid_batch_size","dy_config.data.in_distribution.pick_loader","dy_config.data.out_of_distribution.dataloader_args.dataset","dy_config.data.out_of_distribution.dataloader_args.dgm_args.length","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.seed","dy_config.data.out_of_distribution.dataloader_args.make_valid_loader","dy_config.data.out_of_distribution.dataloader_args.test_batch_size","dy_config.data.out_of_distribution.dataloader_args.train_batch_size","dy_config.data.out_of_distribution.dataloader_args.valid_batch_size","dy_config.data.out_of_distribution.pick_loader","dy_config.ood.bypass_visualization","dy_config.ood.histogram_limit","dy_config.ood.method","dy_config.ood.method_args.adaptive_measurement","dy_config.ood.method_args.adaptive_train_data_buffer_size","dy_config.ood.method_args.chunk_size","dy_config.ood.method_args.compression_type","dy_config.ood.method_args.correction_coeff","dy_config.ood.method_args.dimension_tolerance","dy_config.ood.method_args.encoding_model_args.chunk_size","dy_config.ood.method_args.encoding_model_args.diff_transform","dy_config.ood.method_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.encoding_model_args.use_functorch","dy_config.ood.method_args.encoding_model_args.use_vmap","dy_config.ood.method_args.encoding_model_args.verbose","dy_config.ood.method_args.encoding_model_class","dy_config.ood.method_args.evaluate_r","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_class","dy_config.ood.method_args.intrinsic_dimension_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_class","dy_config.ood.method_args.latent_statistics_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_class","dy_config.ood.method_args.lp_norm_order","dy_config.ood.method_args.percentile","dy_config.ood.method_args.radii_n","dy_config.ood.method_args.radii_range","dy_config.ood.method_args.use_forward_mode","dy_config.ood.method_args.use_functorch","dy_config.ood.method_args.use_vmap","dy_config.ood.method_args.verbose","dy_config.ood.method_args.visualization_nrow","dy_config.ood.method_args.with_std","dy_config.ood.pick_count","dy_config.ood.samples_visualization","dy_config.ood.seed"
"celeba-small_vs_cifar100_test_diplasic","52fit75c","49","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_cifar100_train_dillyman","7qqrf5gw","97","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_tiny-imagenet_test_foist","3vyea2mf","52","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","tiny-imagenet","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_tiny-imagenet_train_concerto","ie4rkd8f","220","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","tiny-imagenet","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_cifar10_test_porky","su5p84w0","52","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","cifar10","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_cifar10_train_recurrences","ajq5vdfs","99","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","cifar10","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_svhn_test_ultrasonogram","xcozi76x","70","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","svhn","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_svhn_train_palpitating","zk7vgqlo","124","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","svhn","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_celeba-small_test_adytta","qpewjo30","38","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","celeba-small","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_celeba-small_train_tyrocidin","xzbxcf6o","43","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","celeba-small","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
