"Name","ID","Sweep","Runtime","dy_config.base_model.checkpoint_dir","dy_config.base_model.config_dir","dy_config.data.in_distribution.dataloader_args.dataset","dy_config.data.in_distribution.dataloader_args.dgm_args.length","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.seed","dy_config.data.in_distribution.dataloader_args.make_valid_loader","dy_config.data.in_distribution.dataloader_args.test_batch_size","dy_config.data.in_distribution.dataloader_args.train_batch_size","dy_config.data.in_distribution.dataloader_args.valid_batch_size","dy_config.data.in_distribution.pick_loader","dy_config.data.out_of_distribution.dataloader_args.dataset","dy_config.data.out_of_distribution.dataloader_args.dgm_args.length","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.seed","dy_config.data.out_of_distribution.dataloader_args.make_valid_loader","dy_config.data.out_of_distribution.dataloader_args.test_batch_size","dy_config.data.out_of_distribution.dataloader_args.train_batch_size","dy_config.data.out_of_distribution.dataloader_args.valid_batch_size","dy_config.data.out_of_distribution.pick_loader","dy_config.ood.bypass_visualization","dy_config.ood.histogram_limit","dy_config.ood.method","dy_config.ood.method_args.adaptive_measurement","dy_config.ood.method_args.adaptive_train_data_buffer_size","dy_config.ood.method_args.chunk_size","dy_config.ood.method_args.compression_type","dy_config.ood.method_args.correction_coeff","dy_config.ood.method_args.dimension_tolerance","dy_config.ood.method_args.encoding_model_args.chunk_size","dy_config.ood.method_args.encoding_model_args.diff_transform","dy_config.ood.method_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.encoding_model_args.use_functorch","dy_config.ood.method_args.encoding_model_args.use_vmap","dy_config.ood.method_args.encoding_model_args.verbose","dy_config.ood.method_args.encoding_model_class","dy_config.ood.method_args.evaluate_r","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_class","dy_config.ood.method_args.intrinsic_dimension_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_class","dy_config.ood.method_args.latent_statistics_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_class","dy_config.ood.method_args.lp_norm_order","dy_config.ood.method_args.percentile","dy_config.ood.method_args.radii_n","dy_config.ood.method_args.radii_range","dy_config.ood.method_args.use_forward_mode","dy_config.ood.method_args.use_functorch","dy_config.ood.method_args.use_vmap","dy_config.ood.method_args.verbose","dy_config.ood.method_args.visualization_nrow","dy_config.ood.method_args.with_std","dy_config.ood.pick_count","dy_config.ood.samples_visualization","dy_config.ood.seed"
"emnist_vs_emnist_test_dermatophone","l9fchrn4","zsrr5y3e","960","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","emnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_emnist_train_chiv","6fglyb71","zsrr5y3e","960","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","emnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_omniglot_test_midparental","c00e6oob","zsrr5y3e","917","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"mnist_vs_fashion-mnist_train_acerra","js43udyp","zsrr5y3e","883","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/run_config.json","mnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_omniglot_train_adores","5aoyo55w","zsrr5y3e","924","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_fashion-mnist_test_palmary","04wkfsjf","zsrr5y3e","891","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_fashion-mnist_train_underrecompensing","i1i33c0l","zsrr5y3e","906","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_mnist_test_maenades","kvcewv28","zsrr5y3e","882","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_mnist_train_scuggery","p4brytk4","zsrr5y3e","927","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"emnist_vs_dgm-generated_test_beshrouding","qwsfzci7","zsrr5y3e","924","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","dgm-generated","1000","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","10","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
